DEPTH,LCAL,GR,RHOM,APLU,Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
4172.2548,8.6039,28.0668,2.5246,0.0721,0.79766,0.80674,0.80128,0.82567,0.82752,0.82522,74.4819,136.0113
4172.1024,8.6048,28.8479,2.524,0.0672,0.79451,0.80336,0.79844,0.82252,0.82425,0.82201,74.71,137.9055
4171.95,8.606,28.3119,2.5177,0.0671,0.79131,0.79983,0.79547,0.8193,0.82091,0.81904,75.1568,139.4688
4171.7976,8.6073,26.2681,2.5145,0.0706,0.78809,0.79614,0.79222,0.81604,0.81751,0.81629,75.1854,138.7043
4171.6452,8.6043,26.0521,2.5053,0.0707,0.78486,0.79228,0.78859,0.81274,0.81405,0.81365,75.4424,139.461
4171.4928,8.624,27.2299,2.509,0.0733,0.78164,0.78828,0.78451,0.80943,0.81054,0.81085,74.6069,137.7852
4171.3404,8.6366,27.9959,2.5086,0.0723,0.77846,0.78417,0.78001,0.80612,0.80697,0.80765,74.5518,138.0276
4171.188,8.6382,27.2745,2.5149,0.0712,0.77534,0.77999,0.77516,0.80284,0.8034,0.80387,74.4182,136.5288
4171.0356,8.6348,26.1077,2.51,0.0733,0.77232,0.77583,0.77013,0.79961,0.79986,0.79955,73.995,135.5301
4170.8832,8.6326,24.9209,2.5059,0.0768,0.76943,0.77177,0.7652,0.79646,0.7964,0.79496,73.7137,133.9056
4170.7308,8.6227,26.1062,2.5081,0.0736,0.76671,0.7679,0.76068,0.7934,0.79308,0.7905,74.1539,135.1839
4170.5784,8.5995,27.0811,2.5064,0.0721,0.76419,0.76429,0.75686,0.79048,0.78996,0.78656,74.7104,137.3845
4170.426,8.5964,27.8024,2.5062,0.0679,0.7619,0.76098,0.75391,0.7877,0.78705,0.78339,75.2157,137.6636
4170.2736,8.5978,28.6609,2.5099,0.0671,0.75986,0.75803,0.75181,0.7851,0.78439,0.78103,75.2991,139.7458
4170.1212,8.5965,27.1609,2.5098,0.0698,0.75809,0.75543,0.75041,0.78269,0.78197,0.77932,77.3286,141.5246
4169.9688,8.5979,26.4378,2.5148,0.0694,0.7566,0.75319,0.74944,0.78049,0.7798,0.77797,76.4433,139.4137
4169.8164,8.6166,25.2621,2.5108,0.0704,0.75541,0.75127,0.74861,0.77851,0.77785,0.77663,75.7528,135.1834
4169.664,8.6378,25.8456,2.5188,0.0699,0.75451,0.74967,0.74771,0.7768,0.77613,0.77506,75.0326,134.4871
4169.5116,8.6365,27.1698,2.5109,0.0749,0.75393,0.74837,0.74665,0.77538,0.77465,0.77317,73.8647,132.4756
4169.3592,8.6377,25.8753,2.5175,0.0741,0.75365,0.74738,0.74547,0.77429,0.77343,0.77102,73.1073,129.7424
4169.2068,8.6187,24.2963,2.5099,0.0759,0.7537,0.7467,0.74431,0.77358,0.77253,0.76884,72.1128,128.9493
4169.0544,8.6043,23.6351,2.5192,0.0757,0.75409,0.74638,0.7433,0.77328,0.77202,0.76691,71.6315,127.7015
4168.902,8.6189,23.2959,2.5137,0.0776,0.75481,0.74647,0.74262,0.77346,0.77197,0.76555,71.4014,127.5506
4168.7496,8.6323,24.661,2.503,0.0718,0.7559,0.74702,0.74244,0.77413,0.77246,0.76499,71.2488,127.5743
4168.5972,8.6311,23.9981,2.4834,0.0673,0.75734,0.74808,0.74292,0.77531,0.77354,0.76545,71.7374,127.4108
4168.4448,8.6312,24.8148,2.4611,0.0678,0.75913,0.74968,0.74425,0.777,0.77526,0.76709,71.3748,127.7713
4168.2924,8.6249,27.9406,2.4556,0.0731,0.76128,0.75187,0.74659,0.77919,0.77762,0.77001,72.0436,128.6053
4168.14,8.634,40.0246,2.4694,0.0876,0.76377,0.75463,0.75004,0.78183,0.78059,0.77419,71.9461,128.0474
4167.9876,8.6568,47.8534,2.5013,0.103,0.76657,0.75796,0.75459,0.78486,0.78411,0.77944,71.4136,127.0544
4167.8352,8.6637,46.498,2.5412,0.1227,0.76966,0.76179,0.76012,0.78821,0.7881,0.78541,70.7328,113.1126
4167.6828,8.7034,33.4878,2.5433,0.1165,0.77298,0.76604,0.76638,0.7918,0.79243,0.79166,71.5912,110.2349
4167.5304,8.8251,24.4922,2.5237,0.0963,0.7765,0.7706,0.7731,0.79555,0.79695,0.7978,71.5404,103.3595
4167.378,8.8951,22.4814,2.516,0.0719,0.78017,0.77533,0.77996,0.79938,0.80154,0.80356,73.5616,103.9492
4167.2256,8.9616,25.2162,2.4912,0.0603,0.78393,0.78009,0.78661,0.80322,0.80604,0.80886,74.1181,98.5967
4167.0732,8.7192,27.7744,2.4889,0.0595,0.78775,0.78472,0.79269,0.80702,0.81033,0.81369,74.5899,123.278
4166.9208,8.6296,27.2935,2.4875,0.0652,0.79158,0.78911,0.79785,0.81075,0.81432,0.81802,74.2235,124.7591
4166.7684,8.6268,24.2244,2.4934,0.0671,0.79539,0.79317,0.80175,0.81441,0.81796,0.82169,72.3376,124.3282
4166.616,9.1689,23.1811,2.4852,0.0697,0.79916,0.79686,0.80419,0.81799,0.82126,0.8245,70.3637,144.0471
4166.4636,9.9948,27.9524,2.4777,0.0677,0.80288,0.80018,0.80521,0.82154,0.82426,0.82629,66.7096,98.4693
4166.3112,10.2002,35.7067,2.4746,0.0703,0.80655,0.80322,0.80508,0.8251,0.82709,0.82711,64.5866,91.7972
4166.1588,9.9553,37.7116,2.4878,0.078,0.81018,0.80609,0.80428,0.82873,0.82988,0.82726,65.5456,98.0711
4166.0064,8.9706,34.7437,2.5162,0.0902,0.81377,0.80894,0.80341,0.83248,0.8328,0.8273,67.5466,102.4133
4165.854,8.6502,29.3001,2.517,0.096,0.81733,0.81195,0.80313,0.83641,0.83605,0.82789,67.6443,112.5864
4165.7016,8.6286,26.1143,2.5302,0.0909,0.82087,0.81525,0.80395,0.84053,0.83976,0.82965,68.0538,119.9454
4165.5492,8.6461,24.4312,2.5235,0.0869,0.82438,0.81899,0.80634,0.84486,0.84407,0.83302,68.7498,118.7292
4165.3968,8.8125,24.3765,2.5482,0.0808,0.82786,0.82321,0.81059,0.84939,0.84901,0.83829,69.3874,121.177
4165.2444,8.9478,26.1973,2.5731,0.0765,0.83127,0.82789,0.81681,0.85405,0.85454,0.84559,69.4705,118.477
4165.092,8.9469,27.5629,2.5993,0.074,0.8346,0.83294,0.8249,0.85876,0.86051,0.8548,69.1516,123.7822
4164.9396,9.1738,26.7571,2.6035,0.0716,0.83777,0.83817,0.83441,0.8634,0.86671,0.86551,68.7834,122.0016
4164.7872,9.211,26.2212,2.6245,0.0724,0.84075,0.84334,0.84453,0.86784,0.87282,0.87691,68.6118,120.6343
4164.6348,9.1959,25.5768,2.6178,0.07,0.84346,0.84816,0.85419,0.87194,0.87852,0.8878,67.3433,121.3894
4164.4824,9.1319,26.5311,2.5782,0.0692,0.84586,0.85235,0.86219,0.87556,0.88347,0.8968,68.1707,121.4658
4164.33,9.0715,25.4867,2.542,0.0627,0.84789,0.8557,0.8676,0.87858,0.88739,0.90274,67.2899,116.5
4164.1776,8.8755,26.208,2.5377,0.0649,0.84953,0.85804,0.86998,0.88093,0.89012,0.90504,66.8976,110.6304
4164.0252,8.6278,25.6457,2.5238,0.0658,0.85075,0.85933,0.86951,0.88257,0.89159,0.90392,65.7334,110.8172
4163.8728,8.5568,26.2022,2.4997,0.0674,0.85156,0.8596,0.86688,0.88349,0.89185,0.90024,68.2979,110.7622
4163.7204,8.5453,24.5792,2.5123,0.072,0.852,0.859,0.86297,0.88375,0.89108,0.89516,66.0465,110.1107
4163.568,8.6186,23.9994,2.5097,0.0751,0.85209,0.85771,0.85864,0.88342,0.88951,0.88971,65.4656,111.4475
4163.4156,8.6924,24.6186,2.5056,0.0695,0.85188,0.85596,0.85452,0.8826,0.88741,0.88462,65.7973,110.888
4163.2632,8.6963,24.0175,2.4811,0.0647,0.85145,0.85396,0.85095,0.88142,0.88503,0.88028,65.7479,112.4876
4163.1108,8.7027,23.6657,2.4727,0.0662,0.85085,0.8519,0.84803,0.88,0.88259,0.87678,66.4971,111.6161
4162.9584,8.7646,22.4806,2.4615,0.0673,0.85013,0.84992,0.8457,0.87844,0.88026,0.87408,65.8991,111.4415
4162.806,9.0155,23.803,2.4711,0.0672,0.84935,0.84812,0.84388,0.87684,0.87816,0.87211,66.1354,112.2256
4162.6536,8.946,24.7146,2.46,0.0732,0.84854,0.84656,0.8424,0.87529,0.87634,0.87072,66.2765,111.765
