DEPTH,LCAL,GR,RHOM,APLC,APLU
4216.146,8.6331,74.6699,2.5881,0.0714,0.0765
4215.9936,8.6248,54.4617,2.545,0.0822,0.0877
4215.8412,8.6274,37.3319,2.5352,0.0859,0.0914
4215.6888,8.6281,30.0173,2.5107,0.0726,0.0783
4215.5364,8.6299,29.0219,2.5073,0.0595,0.0658
4215.384,8.6342,35.3883,2.4917,0.0683,0.0753
4215.2316,8.6376,40.7193,2.4824,0.0831,0.0909
4215.0792,8.608,39.9328,2.48,0.0864,0.0956
4214.9268,8.5971,31.4731,2.4985,0.0824,0.0934
4214.7744,8.6033,24.8704,2.5158,0.0772,0.0883
4214.622,8.5792,24.4353,2.5118,0.0739,0.0833
4214.4696,8.542,25.0333,2.4994,0.0704,0.0783
4214.3172,8.5243,24.2124,2.4875,0.0702,0.078
4214.1648,8.5217,24.8724,2.4902,0.0709,0.0784
4214.0124,8.5165,24.5643,2.4893,0.0661,0.0735
4213.86,8.5162,25.8868,2.4951,0.0649,0.0724
4213.7076,8.5546,24.9457,2.5066,0.0579,0.0657
4213.5552,8.5933,25.126,2.5057,0.0592,0.0664
4213.4028,8.611,27.7107,2.5209,0.0608,0.0678
4213.2504,8.6416,29.5141,2.5525,0.0625,0.0696
4213.098,8.6455,28.9599,2.5532,0.06,0.0667
4212.9456,8.6574,25.9544,2.5533,0.0574,0.064
4212.7932,8.6917,23.2494,2.5857,0.0554,0.0621
4212.6408,8.726,23.9667,2.5961,0.058,0.065
4212.4884,8.9201,24.7361,2.604,0.0632,0.0706
4212.336,8.9542,26.8074,2.6047,0.0652,0.0728
4212.1836,9.0118,28.6777,2.6179,0.0602,0.0682
4212.0312,9.0813,29.0044,2.6081,0.0566,0.0643
4211.8788,9.0936,28.6763,2.6226,0.0572,0.0644
4211.7264,9.0966,28.2058,2.6281,0.0555,0.0622
4211.574,9.0413,26.8091,2.6258,0.056,0.0627
4211.4216,9.174,27.6489,2.5897,0.0577,0.0642
4211.2692,9.3673,25.7391,2.5766,0.062,0.0689
4211.1168,9.3689,26.4454,2.5368,0.0593,0.0659
4210.9644,9.4396,24.5201,2.4976,0.0616,0.0679
4210.812,9.3521,24.7468,2.5076,0.0611,0.0675
4210.6596,9.3218,24.387,2.5321,0.0665,0.0735
4210.5072,9.1225,34.1265,2.5108,0.0671,0.0745
4210.3548,9.0194,58.7981,2.4987,0.0738,0.0816
4210.2024,8.9749,103.6051,2.514,0.0823,0.0916
4210.05,8.9172,128.6044,2.475,0.0908,0.1011
4209.8976,8.9511,113.7376,2.4473,0.098,0.1081
4209.7452,8.7534,70.2208,2.469,0.1255,0.1366
4209.5928,8.7626,37.0657,2.4695,0.1401,0.151
4209.4404,8.8132,34.7286,2.4568,0.1187,0.131
4209.288,8.8129,44.8735,2.4386,0.0898,0.1033
4209.1356,8.8073,53.2718,2.4372,0.0794,0.092
4208.9832,8.7981,48.6893,2.4499,0.0855,0.0961
4208.8308,8.7669,37.3709,2.4724,0.0938,0.1028
4208.6784,8.7603,28.6892,2.4847,0.093,0.1006
4208.526,8.7565,27.1263,2.5015,0.0796,0.0866
4208.3736,8.7534,28.4699,2.4933,0.0702,0.0776
4208.2212,8.7333,31.5303,2.491,0.0612,0.0675
4208.0688,8.6926,38.7259,2.5006,0.0549,0.0609
4207.9164,8.6622,42.5094,2.5054,0.0502,0.0561
4207.764,8.6604,40.4496,2.4994,0.057,0.0636
4207.6116,8.6626,34.207,2.4859,0.0666,0.0729
4207.4592,8.6609,30.5935,2.4779,0.0707,0.0769
4207.3068,8.662,29.9845,2.4786,0.0752,0.0817
4207.1544,8.6595,29.6377,2.4925,0.0742,0.0807
4207.002,8.6608,30.1478,2.5104,0.0708,0.0771
4206.8496,8.6603,32.5899,2.5229,0.0625,0.0686
4206.6972,8.6619,34.2785,2.5316,0.0584,0.0645
4206.5448,8.6608,33.7753,2.5337,0.0549,0.0607
4206.3924,8.6622,32.0042,2.5299,0.0546,0.0602
4206.24,8.6612,32.2376,2.5188,0.0571,0.0631
4206.0876,8.6614,30.7572,2.5194,0.0632,0.0697
4205.9352,8.6471,29.4111,2.5185,0.0673,0.0735
4205.7828,8.6421,25.9573,2.5213,0.0688,0.0752
4205.6304,8.6399,27.3175,2.5147,0.0657,0.0724
4205.478,8.6412,27.1174,2.5098,0.0632,0.0695
4205.3256,8.641,26.429,2.4978,0.0618,0.0676
4205.1732,8.6419,28.5986,2.4959,0.0628,0.0697
4205.0208,8.6414,43.7202,2.5134,0.0659,0.0732
4204.8684,8.6411,70.7328,2.5516,0.0718,0.0799
4204.716,8.6427,93.4754,2.5855,0.0822,0.0911
4204.5636,8.6423,101.3941,2.6091,0.0878,0.0977
4204.4112,8.6418,97.0767,2.6263,0.0985,0.1094
4204.2588,8.6421,89.2238,2.6099,0.108,0.1192
4204.1064,8.6416,82.9328,2.5939,0.1052,0.1166
4203.954,8.6399,78.7428,2.5814,0.0987,0.1092
4203.8016,8.6367,68.8742,2.5677,0.0859,0.0972
4203.6492,8.6347,57.1423,2.5586,0.0853,0.0948
4203.4968,8.6283,47.2135,2.5399,0.087,0.0944
4203.3444,8.626,50.5828,2.5325,0.0784,0.085
4203.192,8.6295,62.0879,2.518,0.0738,0.0805
4203.0396,8.6324,61.9129,2.5019,0.0724,0.0792
4202.8872,8.6569,56.9071,2.4906,0.081,0.0882
4202.7348,8.7189,44.2351,2.4948,0.0853,0.0943
4202.5824,8.7286,39.8594,2.4965,0.0896,0.1006
4202.43,8.6831,32.6315,2.4964,0.0908,0.1031
4202.2776,8.6522,28.0954,2.5049,0.0883,0.1008
4202.1252,8.6234,23.9531,2.5167,0.0776,0.0896
4201.9728,8.5975,24.4847,2.5276,0.0754,0.086
4201.8204,8.597,24.6775,2.5296,0.0765,0.0853
4201.668,8.5978,27.8064,2.5179,0.0801,0.0871
4201.5156,8.5978,28.0983,2.5056,0.0755,0.0823
4201.3632,8.5981,27.6575,2.5072,0.0744,0.0805
4201.2108,8.5948,25.4038,2.5103,0.0765,0.0824
4201.0584,8.5968,24.3943,2.5124,0.0787,0.0847
4200.906,8.5974,26.006,2.5113,0.0741,0.0803
4200.7536,8.5961,25.8398,2.5147,0.0772,0.0834
4200.6012,8.5973,29.1581,2.5142,0.0739,0.0804
4200.4488,8.5963,27.9431,2.5146,0.0726,0.0797
4200.2964,8.5607,28.1676,2.5232,0.0668,0.0733
4200.144,8.498,24.9521,2.5276,0.0694,0.0757
4199.9916,8.4975,26.4223,2.5297,0.0654,0.0712
4199.8392,8.4968,26.8891,2.5267,0.0659,0.0714
4199.6868,8.4976,27.0831,2.531,0.0652,0.0704
4199.5344,8.4988,25.8361,2.5338,0.07,0.0756
4199.382,8.5022,25.136,2.5296,0.0673,0.0729
4199.2296,8.5013,25.4736,2.5206,0.0636,0.0699
4199.0772,8.5029,25.0238,2.5127,0.0624,0.0689
4198.9248,8.5065,24.7321,2.5254,0.0653,0.072
4198.7724,8.5055,25.5039,2.5238,0.0648,0.0717
4198.62,8.5074,26.9091,2.5269,0.0655,0.0724
4198.4676,8.5066,28.8344,2.5183,0.0645,0.0713
4198.3152,8.5071,28.2659,2.5104,0.0654,0.0722
4198.1628,8.5075,27.0626,2.5147,0.0626,0.0692
4198.0104,8.5064,25.6783,2.5197,0.0616,0.0679
4197.858,8.5067,24.9499,2.5213,0.0632,0.0694
4197.7056,8.5062,25.0447,2.5245,0.0635,0.0698
4197.5532,8.5062,25.3788,2.5337,0.0615,0.0677
4197.4008,8.5075,27.2425,2.5392,0.0587,0.0651
4197.2484,8.5073,28.4093,2.5403,0.0565,0.063
4197.096,8.5075,28.2143,2.5364,0.0557,0.0622
4196.9436,8.5057,26.2873,2.5154,0.0572,0.0633
4196.7912,8.6092,25.0038,2.5119,0.0611,0.0669
4196.6388,8.8179,23.3619,2.5031,0.0627,0.0683
4196.4864,8.9417,24.0597,2.5092,0.0646,0.07
4196.334,9.1751,26.2944,2.5329,0.0611,0.0664
4196.1816,9.4098,29.7649,2.5486,0.0595,0.0652
4196.0292,9.3287,35.3731,2.5489,0.0626,0.0688
4195.8768,9.3051,39.8161,2.5756,0.069,0.0758
4195.7244,9.0745,39.121,2.5682,0.0807,0.0886
4195.572,9.0603,35.2704,2.5505,0.0858,0.0948
4195.4196,9.4568,30.1696,2.5514,0.0903,0.0993
4195.2672,9.5917,30.3947,2.5711,0.0789,0.089
4195.1148,9.5589,29.5779,2.5975,0.0772,0.087
4194.9624,9.4395,29.875,2.6139,0.0689,0.0777
4194.81,9.5986,30.0059,2.6215,0.0696,0.0775
4194.6576,9.7571,30.4909,2.6161,0.0671,0.0751
4194.5052,9.6046,31.1839,2.6079,0.0673,0.0747
4194.3528,9.6919,34.2651,2.6124,0.0652,0.0726
4194.2004,9.6973,36.9023,2.6306,0.0677,0.075
4194.048,9.8212,38.3609,2.622,0.0644,0.0714
4193.8956,9.7673,36.6239,2.589,0.0656,0.0721
4193.7432,9.8307,34.7853,2.5608,0.0629,0.0694
4193.5908,9.8559,33.8359,2.5815,0.0632,0.069
4193.4384,9.5699,36.273,2.5575,0.0632,0.0692
4193.286,9.4164,39.0698,2.5112,0.0658,0.0723
4193.1336,9.5692,42.7365,2.4751,0.0706,0.0775
4192.9812,8.9331,40.9279,2.4797,0.0773,0.0849
4192.8288,8.8214,38.2694,2.4774,0.0809,0.0895
4192.6764,8.7887,34.4069,2.4951,0.079,0.0871
4192.524,8.7398,33.6651,2.505,0.0771,0.0845
4192.3716,8.7151,35.8605,2.4937,0.0764,0.0834
4192.2192,8.8028,42.4898,2.4951,0.0754,0.082
4192.0668,8.7678,49.9092,2.4925,0.0747,0.0816
4191.9144,8.7568,53.3477,2.4981,0.0803,0.088
4191.762,9.4275,51.0618,2.4802,0.0894,0.0979
4191.6096,9.8103,44.2092,2.4483,0.0881,0.0979
4191.4572,9.7314,37.7252,2.4575,0.0832,0.0932
4191.3048,9.6913,32.835,2.4975,0.0774,0.087
4191.1524,9.7038,30.9647,2.5402,0.0789,0.0869
4191.0,9.923,31.3048,2.5439,0.0723,0.0796
4190.8476,9.8819,32.2276,2.5834,0.0661,0.0721
4190.6952,9.6619,35.781,2.5617,0.0603,0.0664
4190.5428,9.4616,36.9039,2.4828,0.0609,0.0668
4190.3904,9.3788,37.1443,2.4608,0.0642,0.0705
4190.238,10.0725,31.9607,2.4606,0.0661,0.0735
4190.0856,10.541,29.751,2.4714,0.0727,0.0813
4189.9332,10.8078,29.1911,2.4828,0.0683,0.0768
4189.7808,11.0311,29.9145,2.4956,0.0652,0.0734
4189.6284,11.5656,28.791,2.4965,0.0616,0.0692
4189.476,11.7894,25.9123,2.4837,0.0634,0.0694
