Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
0.80812,0.81527,0.809,0.84189,0.84286,0.83795,67.7399,105.6015
0.80409,0.81016,0.80446,0.8368,0.83739,0.83324,68.0881,105.2439
0.80004,0.8052,0.80011,0.83171,0.83213,0.82868,68.0725,105.4179
0.79599,0.80034,0.79581,0.82666,0.82705,0.82416,67.2845,104.4298
0.79199,0.79554,0.79143,0.82173,0.82212,0.81964,67.7606,104.1627
0.78806,0.79079,0.78699,0.81694,0.81731,0.81516,68.0059,104.1962
0.78424,0.78608,0.78248,0.81232,0.81263,0.81072,67.6242,104.0951
0.78057,0.78144,0.77791,0.80792,0.80808,0.80626,67.1581,104.412
0.77711,0.77693,0.77329,0.80377,0.80371,0.80172,68.1479,104.5804
0.77389,0.7726,0.76871,0.79988,0.79956,0.7971,67.3404,105.0086
0.77099,0.76853,0.76431,0.79632,0.7957,0.79251,67.3679,105.0913
0.76844,0.7648,0.7603,0.79311,0.79217,0.78821,67.274,105.1321
0.76629,0.76148,0.75689,0.79029,0.78904,0.78446,67.8801,104.673
0.76458,0.75866,0.75421,0.78791,0.78638,0.78148,67.8522,104.4417
0.76334,0.75638,0.75221,0.786,0.78422,0.77933,67.758,104.1241
0.7626,0.75468,0.75079,0.7846,0.78259,0.77789,67.6284,104.3682
0.76237,0.75359,0.74975,0.78373,0.78154,0.77695,67.9099,105.3451
0.76266,0.75313,0.74899,0.78341,0.7811,0.77631,67.4996,105.1154
0.76345,0.75331,0.7485,0.78366,0.78127,0.7759,67.4199,103.8562
0.76475,0.75413,0.74846,0.78449,0.78209,0.77587,66.9186,102.9817
0.76652,0.75559,0.74918,0.78589,0.78356,0.77653,66.9135,99.4986
0.76873,0.75769,0.75094,0.78786,0.78568,0.77827,66.6934,98.6005
0.77136,0.76038,0.75394,0.79039,0.78843,0.78141,67.118,98.6998
0.77435,0.76363,0.75814,0.79346,0.79176,0.786,67.2702,99.341
0.77766,0.76738,0.76326,0.79703,0.79562,0.79181,66.4022,100.1603
0.78125,0.77155,0.76885,0.80108,0.79993,0.7983,66.633,99.7766
0.78507,0.7761,0.77437,0.80556,0.80463,0.80478,67.7989,101.7189
0.78909,0.78095,0.7794,0.81043,0.80967,0.81061,67.2768,102.4187
0.79325,0.78611,0.78375,0.81563,0.81503,0.81539,66.8078,102.2482
0.79752,0.79157,0.7876,0.82109,0.82072,0.81915,66.7084,102.0163
0.80186,0.79735,0.79145,0.82675,0.82679,0.82233,66.4159,100.4338
0.80619,0.80348,0.79596,0.83251,0.83325,0.82577,66.0404,99.4104
0.81045,0.80991,0.80189,0.83825,0.84007,0.83045,64.8599,96.2768
0.81455,0.81655,0.8098,0.84384,0.84716,0.8373,64.277,94.0476
0.81837,0.8232,0.81983,0.84912,0.8543,0.84691,64.6853,92.9503
0.8218,0.82956,0.83154,0.85392,0.86117,0.85918,65.3141,91.8949
0.82472,0.83525,0.84373,0.85806,0.86734,0.87309,65.9462,91.6089
0.82703,0.83989,0.85466,0.86138,0.87236,0.88671,64.2338,92.3063
0.82864,0.84309,0.86238,0.86374,0.8758,0.89747,64.0403,92.356
0.8295,0.84461,0.86541,0.86505,0.87735,0.90301,63.1647,93.4255
0.82961,0.84437,0.86322,0.86526,0.8769,0.90201,63.9873,95.3985
0.829,0.84247,0.85648,0.86441,0.87455,0.89478,67.1943,97.9035
0.82772,0.8392,0.84674,0.86259,0.87059,0.88311,67.6944,97.5948
0.82589,0.83496,0.83585,0.85994,0.86548,0.86947,69.6737,98.2135
0.82361,0.83021,0.82548,0.85663,0.85973,0.85615,68.8907,96.5362
0.82098,0.82538,0.81676,0.85287,0.85382,0.84479,71.4879,94.9974
0.81811,0.8208,0.81023,0.84883,0.84817,0.83618,69.3796,95.4904
0.81509,0.81672,0.80594,0.84469,0.84306,0.83042,70.1204,93.3335
0.81198,0.81323,0.80356,0.84058,0.83862,0.82712,69.8305,101.223
0.80883,0.81031,0.80252,0.83661,0.83487,0.82562,68.9882,101.138
0.80568,0.80788,0.80224,0.83282,0.8317,0.82517,69.0432,100.5862
0.80253,0.80579,0.80207,0.82924,0.82899,0.82507,68.7918,103.5521
0.79941,0.80387,0.80159,0.82587,0.82653,0.82471,70.2632,107.5034
0.7963,0.80196,0.80045,0.82267,0.82418,0.82371,72.3819,108.0111
0.7932,0.79994,0.79854,0.81962,0.82181,0.82189,72.414,115.0611
0.79011,0.79774,0.79586,0.81667,0.81931,0.81927,66.1161,116.8547
0.78701,0.7953,0.79254,0.81378,0.81666,0.816,67.8555,117.4529
0.7839,0.79262,0.78876,0.81091,0.81385,0.81229,67.0643,116.4961
0.78078,0.78971,0.78473,0.80805,0.81089,0.80838,65.7382,117.5346
0.77763,0.7866,0.7807,0.80517,0.80783,0.80451,68.5014,118.3938
0.77446,0.78332,0.77687,0.80226,0.8047,0.80088,68.3023,117.2421
0.77126,0.77991,0.77335,0.79931,0.80154,0.79761,70.3169,115.7059
0.76805,0.7764,0.77018,0.79634,0.79837,0.79473,65.1767,111.2128
0.76484,0.7728,0.76723,0.79334,0.79521,0.79217,62.6752,121.2165
0.76164,0.76913,0.76435,0.7903,0.79204,0.78977,64.3207,123.0791
0.75846,0.7654,0.76135,0.78725,0.78886,0.78737,64.6541,122.412
0.75534,0.76163,0.75813,0.78418,0.78567,0.78481,60.9428,121.0951
0.75231,0.75784,0.7547,0.78111,0.78245,0.78202,59.5254,117.6514
0.7494,0.75405,0.75112,0.77804,0.7792,0.77898,58.9209,113.719
0.74665,0.75033,0.7475,0.77499,0.77595,0.77573,62.0619,111.0593
